Date,Instagram_Minutes,YouTube_Minutes,WhatsApp_Minutes,LinkedIn_Minutes,Reels_Watched,Videos_Watched,Messages_Sent,Posts_Liked,Study_Minutes
2026-08-23,135,82,28,21,171,16,85,80,96
2026-08-24,37,116,31,42,26,45,74,5,170
2026-08-25,69,178,16,48,94,58,36,35,270
2026-08-26,130,133,169,73,80,42,306,45,64
2026-08-27,42,104,164,3,28,38,351,10,346
2026-08-28,128,98,96,59,135,33,234,27,240
2026-08-29,211,299,173,20,198,101,465,94,80
2026-08-30,179,148,170,10,118,61,555,43,21
2026-08-31,166,97,27,26,229,41,57,139,130
2026-09-01,138,43,86,58,124,12,264,69,132
2026-09-02,34,58,171,19,23,9,383,7,308
2026-09-03,21,125,113,70,14,27,277,6,165
2026-09-04,122,141,72,50,137,44,232,30,322
2026-09-05,80,104,28,28,101,26,57,70,80
2026-09-06,165,159,61,0,199,27,199,122,64
2026-09-07,102,189,156,38,63,34,408,39,228
2026-09-08,43,191,85,31,55,35,196,29,133
2026-09-09,91,121,139,30,97,42,381,41,308
2026-09-10,23,96,160,70,20,14,453,5,360
2026-09-11,169,203,173,55,146,60,263,101,211
2026-09-12,163,84,52,22,203,24,104,137,85
2026-09-13,192,206,28,15,127,80,96,45,13
2026-09-14,28,109,72,58,39,22,119,17,221
2026-09-15,155,185,57,67,154,59,164,30,207
2026-09-16,86,48,66,55,90,10,226,20,244
2026-09-17,83,41,149,56,70,8,255,40,160
2026-09-18,30,69,82,41,29,24,151,11,176
2026-09-19,109,97,52,25,115,42,126,29,45
2026-09-20,85,188,140,14,82,73,245,54,135
2026-09-21,113,81,88,58,102,15,148,46,140
